pageid,title,wikibase_item,biography
51547473,Dick Cresswell,Q26838267,TRUE
71233034,John Peter Edmund Faulkner,Q112992991,TRUE
62391382,Damian Miller (aviator),Q75818407,TRUE
70409727,Victor Roffey,Q111530780,TRUE
51046171,Basil George Watson,Q25929825,TRUE
54049623,Douglas Wilson (RAAF officer),Q30608326,TRUE
42385998,Shayne Greenman,Q16885625,TRUE
42118134,Dan Lepard,Q16195489,TRUE
16013592,Kerry Vincent,Q16107166,TRUE
3237084,Michael McAuliffe (drug trafficker),Q16013040,TRUE
65407955,John McLaren Emmerson,Q55683544,TRUE
72984760,Martin Ashe,Q106832441,TRUE
72984957,Anthony Ireland (bishop),Q106832858,TRUE
69306017,Danny Meagher (bishop),Q109905145,TRUE
72993718,Tim Norton,Q116744632,TRUE
4316228,Con Kafataris,Q5157953,TRUE
58868925,Charles Farr (builder),Q60750155,TRUE
62231734,Gerhardt Johannsen,Q73327084,TRUE
57539637,Stephen Jolly,Q59773453,TRUE
55587668,John Leitch,Q42887524,TRUE
56944269,Henry J. Moseley,Q50975488,TRUE
49925799,Edward Smart (politician),Q23617683,TRUE
53249261,Jack Thomson (politician),Q28810440,TRUE
57329361,Per Davidsson,Q54010100,TRUE
55392952,Fraser Ainsworth,Q41694041,TRUE
50429936,Joe Andon,Q26702500,TRUE
71488652,Bob Ansett,Q94521140,TRUE
53058592,Catherine Ball,Q28839632,TRUE
51993221,Edward Charles Barnett,Q27460753,TRUE
49923538,Peter Barrett (entrepreneur),Q23542719,TRUE
60269751,Sam Bashiry,Q62140859,TRUE
53601827,Sean Bellerby,Q29324997,TRUE
69333862,Peter Bond,Q111949141,TRUE
30934412,Timmy 'Djawa' Burarrwanga,Q7806814,TRUE
58552545,Jesse Carlsson,Q56702405,TRUE
54832406,George Chapman (businessman),Q39089725,TRUE
63147055,Chris Christofi,Q86633176,TRUE
50664152,J. Fairfax Conigrave,Q24284565,TRUE
50012471,Robert Luke Deakin,Q23772294,TRUE
49597068,Adrian Di Marco,Q27947518,TRUE
59747004,Robert Kevin Ellis,Q60865071,TRUE
51684931,David Freeman (business owner),Q27842976,TRUE
57738759,Jaimie Fuller,Q55138617,TRUE
59333324,Elizabeth Gaines,Q59594280,TRUE
61359201,Melina Georgousakis,Q65935863,TRUE
53798644,Walter J. Gollin,Q29468064,TRUE
66544431,Lex Greensill,Q105822664,TRUE
52709586,John Hardwick (politician),Q28065979,TRUE
66082965,Peter Hatzoglou,Q104144438,TRUE
56509834,Lisa Havilah,Q48472244,TRUE
55673675,Mike Heard,Q42429477,TRUE
58756324,George Helon,Q57584907,TRUE
62976461,Henry Wills Rischbieth,Q84004977,TRUE
69263407,A. M. Hertzberg,Q109570580,TRUE
70640476,Paul Holmes à Court,Q111735357,TRUE
70066069,Simon Holmes à Court,Q75971136,TRUE
55785060,Jeffrey Hopp,Q46118311,TRUE
73731393,Vanessa Hudson (executive),Q118220135,TRUE
